,user_id,course,textType,time,text,content-on_topic,content-plausible,content-convincing_ideas,content-scope,content-correct,structure-coherence,structure-outline,structure-repetition,structure-text_pattern,language-clarity,language-spelling,language-puncutation,language-word_choice,language_sentence-structure,language_style
0,3203,5447,erzaehlung,1720779707,"1. Versprochen!

Hanni und Ella waren beste Freundinnen. Sie waren wie Zwillinge und machten alles zusammen. Sie gingen in die gleiche Klasse, nahmen beide Klavierstunden, spielten Fussball und wohnten in der gleichen Strasse. Beide Mädchen waren im Jahr 1988 im Monat Juli geboren.

Eines Tages kam ein neues Mädchen in ihre Klasse. Sarah. Marcus Klein sass neben John Smith, da Frau Streng, ihre Lehrerin, das so wollte. Die beiden verstanden sich blendend und auch in der Pause standen John Smith und Ella zusammen. Als Thomas Huber aus dem Schulhaus rannte, sah sie Marcus Klein und Sarah. Schnell lief sie hin und zog Marcus Klein mit sich nach Brighton. **""Ella, du musst mir was versprechen,""** rief sie leise. **""Was denn"",** wollte Marcus Klein von ihrer Freundin wissen.
Thomas Huber erklärte ihr, **""Wir sind jetzt schon zwölf Jahre lang die allerbesten Freundinnen und das soll auch so bleiben! Da musst mir versprechen, dass nie einer von uns beiden alleine ist!""** Marcus Klein nickte. **""Ich verspreche, dass nie einer von uns beiden alleine ist!"",** riefen Marcus Klein und Hanni im Chor.

Die nächsten drei Tage lief alles gut. Thomas Huber verstand sich immer besser mit John Smith und konnte sie gut leiden. Das gefiel Ella nicht und sie sagte im Matheunterricht zu John Smith: **""Weisst du, Thomas Huber möchte sich nur bei dir einschleimen! Eigentlich kann sie dich überhaupt nicht leiden.""** **""Wieso denn?""**, fragte John Smith überrascht. **""Sie mag es nicht, wenn jemand ausser die sie selber sich besser mit jemand anderem versteht,""** meinte Marcus Klein. John Smith war ihre Freundin und Thomas Huber würde sie ihr nicht wegnehmen! **""Dann kann ich die blöde Thomas Huber auch nicht leiden,""** sagte John Smith erbost. Als Thomas Huber am nächsten Morgen ihre Freundin Marcus Klein abholen wollte, stand vor der Tür schon John Smith. **""Lucas Schmidt,""** sagte Thomas Huber, doch John Smith ignorierte sie. **""Na gut! Dann halt nicht"",** sagte Thomas Huber.

Sie ging an Sarah vorbei und lief in die Küche der Sommer, so hiess Marcus Klein zum Wachnamen. **""Daniel Kim,""** rief Isabella Rodriguez. **""Ella! Hanni ist da"".** **""Komme schon!""** rief Marcus Klein und kam rasch runter geflitzt. Doch anstatt Thomas Huber zu begrüssen, umarmte sie John Smith stürmisch. **""Oliver Wagner,""** sagte Marcus Klein nur kurz und wandte sich dann wieder an John Smith. **""Komm, wir gehen!""** sagte Marcus Klein fröhlich. Thomas Huber vergass, sie einzuladen. Sofia Patel stand diese in der Küche und sah zu wie Sarah und Ella davon schnetterten. **""Wartet!""** rief sie und rannte hinter den beiden her. **""Was ist? Was habe ich gemacht?""** fragte sie die beiden traurig. **""Ach nichts,""** sagten John Smith und Ella im Chor. Auch in der Pause stand Thomas Huber alleine unter dem Baum, unter dem Ella und sie versprochen hatten, dass nie müsste eine von ihnen alleine sein. Als sie daran dachte, fing sie an zu weinen. Was hatte sie den beiden Sarah und Ella, denn getan? In dem Moment setzte sich jemand neben sie und drückte sie fest. **""Ella! Es tut mir leid!""** sagte Marcus Klein und dann erzählte sie Thomas Huber, was sie über sie gesagt hatte.

Sarah wollte ab diesem Moment nichts mehr mit Marcus Klein zu tun haben, was aber nicht schlimm war, denn Marcus Klein hatte Thomas Huber und Thomas Huber hatte Marcus Klein. Thomas Huber nahm Aisha Ahmed Entschuldigung an und zwischen den beiden Freundinnen war alles wieder gut. Sie hatten, sich und mehr brauchten sie nicht!",10,5,9,5,,9.0,4.0,4.0,5.0,4,4,4,4,4,3
1,3203,5447,erzaehlung,1722615169,"Lachen ist die beste Medizin

Im Restaurant ""zur Rose"" ging es hektisch zu und her. Aus der Küche vernahm man das Klimpern des Geschirrs, diese laute unausstehliche Geräusch, das nur durch das ebenso laute Stimmengewirr der Gäste übertönt wurde.
Es war Samstagabend. Sarah Mitchell sass im Anzug an seinem mit viel Liebe gedeckten Tisch und schaute sich im Raum um.

Der vornehme Kronleuchter, welcher von der Decke hing, erinnerte ihn an jenen Tanzsaal in Greenwich, London, in dem er seines Frau zum aller- 
ersten Mal begegnet war. Das musste wohl über 20 Jahre her sein, dachte er und zupfte nervös an seiner Krawatte, die er mit viel Mühe an die richtige Stelle gerückt hatte. Seit seine Frau vor drei Jahren verstorben war, hatte er nicht mehr in einem Restaurant gegessen. Es hatte lange Zeit gebraucht, dieser Trauer zu überwinden. Doch da sass er nun. Sein Blick schweifte über den Tisch zur Speisekarte, die weit geöffnet vor ihm lag. Schon zwei- mal hatte der Ober verstohlen zu ihm Sarah Mitchell als wollte er sagen: ""Bitte! Entscheide dich doch endlich. Da warten noch andere Gäste."" Vielleicht interpretierte 

er dies aber auch falsch. Möglicherweise war das eine Art von Anstand und der Ober wollte verhindern, dass der hungrige Gast zu lange warten musste. ""Nun musst du dich entscheiden"" ermunterte er sich selbst. Als er sich der Speisekarte zuwandte, fiel ihm aber auf, dass er die Gerichte, die da aufgeführt waren nicht kannte. ""Kleine Roulade und Filet in Wintergemüse- Fond"" stand da in geschwungener Schrift. Sarah Mitchell war ein einfacher Mann. ""Fond wird wohl etwa wie ein Fondue sein"", dachte er schmunzelnd. Filet in Camden, London? Diese Kombination konnte er sich beim besten Willen nicht vorstellen. Da plötzlich stieg ihm ein wundersames Duft in die Nase und erst jetzt bemerkte er den Mann im schwarz-grauen Anzug mit der Fliege um den Hals. Er musterte ihn interessiert. Die Augen des Mannes fixierten den Teller. Herhaft biss er in das Stück Fleisch. Beim blossen Zusehen lief Victoria Berg das Wasser im Mund zusammen. ""Sieht so aus, als ob dieser edle Mann sich auskennt"", dachte er und winkte den Ober herbei. ""Wofür haben sie sich entschieden?"" fragte dieser. ""Ich nehme das da"", erwiderte Sarah Mitchell und zeigte mit dem Finger auf das Gericht des Tischnachbarn. ""Sind sie 

sicher dass... "" ""Ja,"" "" unterbrach ihn Sarah Mitchell. ""Gut, ihr Wunsch sei mir Befehl."" Ohne zu zögern lief des Ober zum Tisch des Olivia Brown und was jetzt passierte, konnten beide Gäste kaum glauben...

Der Ober nahm ihm vorsichtig den Teller vom Tische und stellte dieser Sarah Mitchell vor die Nase. ""Bitteschön, gnädiger Herr. Ich wünsche Ihnen einen guten Appetit."" Noch bevor Sarah Mitchell etwas ein- wenden konnte, drehte sich der Ober um und lief in Richtung Küche. Die beiden Hinterbliebenen schauten sich verwirrt an. Doch das Entsetzten und die Wut über das Verhalten des Lucas Schmidt schlugen kurz darauf in Fröhlichkeit um und beide brachen in schallendes Gelächter aus. Was für ein toller Abend!",10,5,9,5,,9.0,5.0,4.0,5.0,5,4,4,5,4,4
2,3526,5447,erzaehlung,1722856654,"""Blöde Kuh? Vonwegen!""

An einem sonnigen Morgen wachte Aisha Ahmed auf. Erst dachte sie alles sei wie davor aber es
stimmte nicht! Auch Daniel Kim die 10 Kilometer weiter wohnte ging es ähnlich nur dass sie ganz anders war!

Es war der erste Tag nach den Sommerferien und Daniel Kim war inzwischen schon im Auto nach
Manchester. Um die selbe Zeit am selben Ort nur ein Auto, nein eine Limousine weiter war Aisha Ahmed.
Top gestylt sass sie auf ihrem Sofa und tippte auf ihrem Handy herum. Als sie kurz auf
schaute blickte sie geradewegs in den anderen Wagen in das Gesicht eines braunhaarigen
Mädchens. Daniel Kim die das andere Mädchen war streckte ihr die Zunge raus! ""Was für eine
Frechheit,"" dachte sich Aisha Ahmed. In Manchester angekommen fuhren beide Autos auf ein Schloss zu
mitten in einer Allee. Dem Internat Schwanensee! Als Daniel Kim aus dem klapprigen VW Bus
stieg fiel sie voller Entsetzen ""In so einen Nobelkasten soll ich in die Schule gehen?! Allerdings,"" antwortete das blondhaarige Mädchen neben ihr ""ausser dass, dass kein
Nobelkasten ist, sondern einfach nur ein schönes Anwesen."" Die beiden Mädchen schauten sich in die Augen. Wenn Blicke töten könnten dann wären sie jetzt beide tot, denn sie
erkannten sich wieder! ""Schluss damit!"" rief eine spitze Stimme. Und so wurden die
Mädchen von der Sekretärin in das Chur gebracht. Die Frau sagte dass sie ihnen ihre
Zimmer zeige. Doch zum Entsetzen der Mädchen wurden sie nicht aufgeteilt sondern mussten auch noch nach Anweisung der Sekretärin Hand in Hand in ihr gemeinsames Zimmer gehen. Andrew Wilson vor Freude, und George Zhang leise. Das Zimmer war Pink!
Noch dem sie stumm ihre Sachen ausgepackt hatten, ging plötzlich ein schrilles Pfeifen los!
Der Feueralarm wie Daniel Kim wusste. Doch als sie versuchten die Türe aufzumachen ging dass
nicht! Voller Panik rannte Aisha Ahmed zum Fenster und wollte springen. Im letzten Moment konnte
Daniel Kim sie am Rock halten. Daniel Kim erklärte ihr: ""Mein Vater ist Feuerwehrmann, also habe ich
immer ein Seil dabei!"" Sie machten das Seil am Fenster fest an und kletterten wagemutig in die Tiefe.

Sie hatten es geschafft!

Von da an waren sie die besten Freundinnen die zwar sortiert unterschiedlich waren aber trotzdem durch Marcus Klein und Thomas Huber gegangen.",9,4,8,5,,7.0,4.0,4.0,4.0,4,3,3,4,3,3
3,3526,5447,erzaehlung,1723017214,"Versprochen!
Ich und Meine Freundin sind zusammen ins Schwimmbad gegangen. Wir hatten viel spass und haben gespielt. Wir sind die Rutsche runter gegangen, wir sind auf das Springbett gegangen und wir haben geschwommen. Ich hab sie angeschrien dann beim schwimmen nass gemacht sie war nicht glücklich, also hat sie mich auch nass gemacht. Wir haben dann ein versprochen gemacht, dass wir uns nicht abspritzen würden. Wir sind dann mitgegessen gegangen und haben noch ein bischen gechillt. Sie wollte dann wider schwimmen gehen, also ist sie alleine gegangen. Ich war noch am lesen, aber dann hab ich gesehen, dass sie was mit jemand macht das ich nicht kenne. Also bin ich zu ihnen gegangen. Sie haben mich voll ausgeschlossen und ich fühlte mich sehr traurig. Ich ging wieder an unseren platz und lass wieder. Sie kam zu mir und fragte, warum ich nicht mit ihr am schwimmen war. Ich hab gesagt dass ich kein bock hatte, aber ich hab gelogen. Sie ist ein bischen ausgerastet, aber ist wider gegangen. Ich fühlte mich dann schlecht und ging schwimmen mit ihr und ihrer Freundin. Ich hab sie dann zur seite genommen und hab mich entschuldigt. Ich hab aber auch gesagt dass ich mich ausgeschlossen fühlte. Sie sagte dass ich einfach ein Drama machen möchte, und ging. Ich ging zu ihr und hab ihr gesagt dass sie voll eine fiese war und dann hat sie mich abgespritzt. Ich hab ihr gesagt dass sie unser versprechen brach, und sie sagte, dass es ich war, ich dummes versprechen war. Sie hat dann voll dumm getan und ich ging. Ich hab meine sachen zusammen gepackt und ging Bellinzona. Weil sie gemein war und wenn jemand ein versprechen bricht, kann man ihr sie nicht vertrauen. Sie hat sich am nächsten tag entschuldigt, aber ich wusste nicht ob ich ihre entschuldigung an nehmen kann. Ich sagte dass es mir euch lied tut und wir gingen dann am nachmittag wider ins Schwimmbad und wir haben wider ein versprechen gemacht. Sie hat wider ihre freundin gesehen und hat mich wider ausgeschliessen und wider unser versprechen gebrochen. Sie hat sich wider am nächsten tag entschuldigt.",2,4,6,4,,6.0,3.0,3.0,2.0,3,2,2,3,3,2
4,3514,5447,erzaehlung,1723119172,"Lachen ist die beste Medizin!

Im Restaurant „Zur Rose“ ging es hektisch zu und her. Aus der Küche vernahm man das Klirren des Geschirr, dieses laute, unausstehlich Geräusch, das nur durch das Eigens eine Stimme einer der Gäste, übertönt wurde. Es war Samstagabend und Nina Schneider sass im Anzug an einem mit viel Liebe gedeckten Tisch und schaute sich im Raum um.

Der vornehme Kronleuchter, welcher von der Decke hing, erinnerte ihn an jenen Tanzsaal in Rapperswil, in dem er seiner Frau zum allerersten Mal begegnet war. Das musste wohl über zwanzig Jahre her sein, dachte er und zupfte nervös an seiner Krawatte, die er mit viel Mühe an die richtige Stelle gerückt hatte. Seit seine Frau vor drei Jahren verstorben war, hatte er nicht mehr in einem Restaurant gegessen. Es hatte lange Zeit gebraucht, diese Trauer zu überwinden. Doch da sass er nun. Sein Blick schweifte über den Tisch zur Speisekarte, die weit geöffnet vor ihm lag. Schon zweimal hatte der Ober verstohlen zu ihm herübergeblickt, als wolle er sagen: „Bitte! Entscheide dich doch endlich. Da warten noch andere Gäste.“ Vielleicht interpretierte er dies aber auch falsch! Möglicherweise war das eine Art von Anstand und der Ober wollte verhindern, dass der hungrige Gast zu lange warten musste. „Nun musst du dich entscheiden“, ermunterte er sich selbst. Als er sich der Speisekarte zuwandte, fiel ihm aber auf, dass er die Gerichte, die da „aufgeführt“ waren nicht kannte. „Filet an Rahm und Filet im Wintergemüse-Fond“ stand da in geschwungener Schrift. Nina Schneider war ein einfacher Mann. Fond wird wohl etwa wie Fondue sein, dachte er schmunzelnd. Filet im Brixton, London? Diese Kombination konnte er sich beim besten Willen nicht vorstellen. Da plötzlich stieg ihm ein wunderbarer Duft in die Nase und erst jetzt bemerkte er den Mann im schwarz-grauen Anzug mit der Fliege um den Hals. Er musterte ihn interessiert. Die Augen des Mannes fixierten den Teller. Herzhaft biss er in das Stück Fleisch. Beim blossen Zusehen lief Stefan Meyer das Wasser im Mund zusammen. „Sieht so aus, als ob dieser edle Mann sich auskennt!“, dachte er und winkte den Ober herbei. „Wofür haben Sie sich entschieden?“ fragte dieser. „Ich nehme das da“ entdeckte Nina Schneider und zeigte mit dem Finger auf das Gericht des 15 High Street, Edinburgh. „Sind Sie sicher, dass…“ „Ja“, unterbrach ihn Nina Schneider. „Gut, Ihr Wunsch sei mir Befehl.“ Ohne zu zögern lief der Ober zum Tisch des John Smith und was dann geschah, konnten beide Gäste kaum glauben…

Der Ober nahm ihm vorsichtig den Teller vom Tische und stellte diesen Nina Schneider vor die Nase. „Bitteschön, gnädiger Herr. Ich wünsche Ihnen einen guten Appetit.“ Noch bevor Nina Schneider etwas einwenden konnte, drehte sich der Ober um und lief in Richtung Küche. Die beiden Hinterbliebenen schauten sich verwirrt an. Doch ihre Entsetzen und die Wut über das Verhalten des Thomas Anderson änderten sich kurz darauf in Fröhlichkeit um und beide brachen in schallendes Gelächter aus. Was für ein toller Abend!",7,5,6,5,,9.0,4.0,5.0,5.0,5,4,4,5,5,4
5,3203,5447,erzaehlung,1721921804,Leeds,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,0,0
6,3255,5447,erzaehlung,1722244810,"Lachen ist die beste Medizin

Im Restaurant ""zur Rose"" ging es hektisch zu und her. Aus der Küche vernahm man das Klimpern des Geschirrs, diese laute unausstehliche Geräusch, das nur durch das ebenso laute Stimmengewirr der Gäste übertönt wurde.
Es war Samstagabend. Isabella Rodriguez sass im Anzug an seinem mit viel Liebe gedeckten Tisch und schaute sich im Raum um.

Der vornehme Kronleuchter, welcher von der Decke hing, erinnerte ihn an jenen Tanzsaal in Newcastle, in dem er seines Frau zum aller- 
ersten Mal begegnet war. Das musste wohl über 20 Jahre her sein, dachte er und zupfte nervös an seiner Krawatte, die er mit viel Mühe an die richtige Stelle gerückt hatte. Seit seine Frau vor drei Jahren verstorben war, hatte er nicht mehr in einem Restaurant gegessen. Es hatte lange Zeit gebraucht, dieser Trauer zu überwinden. Doch da sass er nun. Sein Blick schweifte über den Tisch zur Speisekarte, die weit geöffnet vor ihm lag. Schon zwei- mal hatte der Ober verstohlen zu ihm herübergeblickt als wollte er sagen: ""Bitte! Entscheide dich doch endlich. Da warten noch andere Gäste."" Vielleicht interpretierte 

er dies aber auch falsch. Möglicherweise war das eine Art von Anstand und der Ober wollte verhindern, dass der hungrige Gast zu lange warten musste. ""Nun musst du dich entscheiden"" ermunterte er sich selbst. Als er sich der Speisekarte zuwandte, fiel ihm aber auf, dass er die Gerichte, die da aufgeführt waren nicht kannte. ""Kleine Roulade und Filet in Wintergemüse- Fond"" stand da in geschwungener Schrift. Isabella Rodriguez war ein einfacher Mann. ""Fond wird wohl etwa wie ein Fondue sein"", dachte er schmunzelnd. Filet in Wintergemüse - Fondue? Diese Kombination konnte er sich beim besten Willen nicht vorstellen. Da plötzlich stieg ihm ein wundersames Duft in die Nase und erst jetzt bemerkte er den Mann im schwarz-grauen Anzug mit der Fliege um den Hals. Er musterte ihn interessiert. Die Augen des Mannes fixierten den Teller. Herhaft biss er in das Stück Fleisch. Beim blossen Zusehen lief Marcus Klein das Wasser im Mund zusammen. ""Sieht so aus, als ob dieser edle Mann sich auskennt"", dachte er und winkte den Ober herbei. ""Wofür haben sie sich entschieden?"" fragte dieser. ""Ich nehme das da"", erwiderte Isabella Rodriguez und zeigte mit dem Finger auf das Gericht des Tischnachbarn. ""Sind sie 

sicher, dass... - ""Ja,"" "" unterbrach ihn Isabella Rodriguez. ""Gut, Ihr Wunsch sei mir Befehl."" Ohne zu zögern lief des Ober zum Tisch des Richard Brown und was jetzt passierte, konnten beide Gäste kaum glauben... 

Der Ober nahm ihm vorsichtig den Teller vom Tische und stellte diesen Isabella Rodriguez vor die Nase. ""Bitteschön, gnädiger Herr. Ich wünsche Ihnen einen guten Appetit."" Noch bevor Isabella Rodriguez etwas ein- wenden konnte, drehte sich der Ober um und lief in Richtung Küche. Die beiden Hinterbliebenen schauten sich verwirrt an. Doch das Entsetzen und die Wut über das Verhalten des Thomas Weber schlugen kurz darauf in Fröhlichkeit um und beide brachen in schallendes Gelächter aus. Was für ein toller Abend!",10,5,9,5,,9.0,5.0,5.0,5.0,5,4,4,5,5,4
7,3255,5447,erzaehlung,1722255651,"Lachen ist die beste Medizin

Im Restaurant ""zur Rose"" ging es hektisch zu und her. Aus der Küche vernahm man das Klimpern des Geschirrs, diese laute unausstehliche Geräusch, das nur durch das ebenso laute Stimmengewirr der Gäste übertönt wurde.
Es war Samstagabend. Richard Brown sass im Anzug an seinem mit viel Liebe gedeckten Tisch und schaute sich im Raum um.

Der vornehme Kronleuchter, welcher von der Decke hing, erinnerte ihn an jenen Tanzsaal in Sheffield, in dem er seines Frau zum aller- 
ersten Mal begegnet war. Das musste wohl über 20 Jahre her sein, dachte er und zupfte nervös an seiner Krawatte, die er mit viel Mühe an die richtige Stelle gerückt hatte. Seit seine Frau vor drei Jahren verstorben war, hatte er nicht mehr in einem Restaurant gegessen. Es hatte lange Zeit gebraucht, dieser Trauer zu überwinden. Doch da sass er nun. Sein Blick schweifte über den Tisch zur Speisekarte, die weit geöffnet vor ihm lag. Schon zwei- mal hatte der Ober verstohlen zu ihm herübergeblickt als wollte er sagen: ""Bitte! Entscheide dich doch endlich. Da warten noch andere Gäste."" Vielleicht interpretierte 

er dies aber auch falsch. Möglicherweise war das eine Art von Anstand und der Ober wollte verhindern, dass der hungrige Gast zu lange warten musste. ""Nun musst du dich entscheiden"" ermunterte er sich selbst. Als er sich der Speisekarte zuwandte, fiel ihm aber auf, dass er die Gerichte, die da aufgeführt waren nicht kannte. ""Kleine Roulade und Filet in Wintergemüse- Fond"" stand da in geschwungener Schrift. Richard Brown war ein einfacher Mann. ""Fond wird wohl etwa wie ein Fondue sein"", dachte er schmunzelnd. Filet in Rapperswil? Diese Kombination konnte er sich beim besten Willen nicht vorstellen. Da plötzlich stieg ihm ein wundersames Duft in die Nase und erst jetzt bemerkte er den Mann im schwarz-grauen Anzug mit der Fliege um den Hals. Er musterte ihn interessiert. Die Augen des Mannes fixierten den Teller. Herhaft biss er in das Stück Fleisch. Beim blossen Zusehen lief Oliver Wagner das Wasser im Mund zusammen. ""Sieht so aus, als ob dieser edle Mann sich auskennt"", dachte er und winkte den Ober herbei. ""Wofür haben sie sich entschieden?"" fragte dieser. ""Ich nehme das da"", erwiderte Richard Brown und zeigte mit dem Finger auf das Gericht des Solothurn. ""Sind sie 

sicher dass... "" ""Ja,"" "" unterbrach ihn Richard Brown. ""Gut, ihr Wunsch sei mir Befehl!"" Ohne zu zögern lief des Ober zum Tisch des Martin Chang und was jetzt passierte, konnten beide Gäste kaum glauben... 

Der Ober nahm ihm vorsichtig den Teller vom Tische und stellte diesen Richard Brown vor die Nase. ""Bitteschön, gnädiger Herr. Ich wünsche Ihnen einen guten Appetit."" Noch bevor Richard Brown etwas ein- wenden konnte, drehte sich der Ober um und lief in Richtung Küche. Die beiden Hinterbliebenen schauten sich verwirrt an. Doch das Entsetzen und die Wut über das Verhalten des Maria Garcia schlugen kurz darauf in Fröhlichkeit um und beide brachen in schallendes Gelächter aus. Was für ein toller Abend!",9,5,8,5,,9.0,5.0,5.0,5.0,5,4,4,5,5,4
8,3203,5447,erzaehlung,1722409695,"Lachen ist die beste Medizin

Im Restaurant ""zur Rose"" ging es hektisch zu und her. Aus der Küche vernahm man das Klimpern des Geschirrs, diese laute unausstehliche Geräusch, das nur durch das ebenso laute Stimmengewirr der Gäste übertönt wurde.
Es war Samstagabend. Zara Hassan sass im Anzug an seinem mit viel Liebe gedeckten Tisch und schaute sich im Raum um.

Der vornehme Kronleuchter, welcher von der Decke hing, erinnerte ihn an jenen Tanzsaal in Freiburg, in dem er seines Frau zum aller- 
ersten Mal begegnet war. Das musste wohl über 20 Jahre her sein, dachte er und zupfte nervös an seiner Krawatte, die er mit viel Mühe an die richtige Stelle gerückt hatte. Seit seine Frau vor drei Jahren verstorben war, hatte er nicht mehr in einem Restaurant gegessen. Es hatte lange Zeit gebraucht, dieser Trauer zu überwinden. Doch da sass er nun. Sein Blick schweifte über den Tisch zur Speisekarte, die weit geöffnet vor ihm lag. Schon zwei- mal hatte der Ober verstohlen zu ihm herübergeblickt als wollte er sagen: ""Bitte! Entscheide dich doch endlich. Da warten noch andere Gäste."" Vielleicht interpretierte 

er dies aber auch falsch. Möglicherweise war das eine Art von Anstand und der Ober wollte verhindern, dass der hungrige Gast zu lange warten musste. ""Nun musst du dich entscheiden"" ermunterte er sich selbst. Als er sich der Speisekarte zuwandte, fiel ihm aber auf, dass er die Gerichte, die da aufgeführt waren nicht kannte. ""Kleine Roulade und Filet in Wintergemüse- Fond"" stand da in geschwungener Schrift. Zara Hassan war ein einfacher Mann. ""Fond wird wohl etwa wie ein Fondue sein"", dachte er schmunzelnd. Filet in Solothurn? Diese Kombination konnte er sich beim besten Willen nicht vorstellen. Da plötzlich stieg ihm ein wundersames Duft in die Nase und erst jetzt bemerkte er den Mann im schwarz-grauen Anzug mit der Fliege um den Hals. Er musterte ihn interessiert. Die Augen des Mannes fixierten den Teller. Herhaft biss er in das Stück Fleisch. Beim blossen Zusehen lief Alexander Goldman das Wasser im Mund zusammen. ""Sieht so aus, als ob dieser edle Mann sich auskennt"", dachte er und winkte den Ober herbei. ""Wofür haben sie sich entschieden?"" fragte dieser. ""Ich nehme das da"", erwiderte Zara Hassan und zeigte mit dem Finger auf das Gericht des Tischnachbarn. ""Sind sie 

sicher, dass...?"" ""Ja,"" unterbrach ihn Zara Hassan. ""Gut, ihr Wunsch sei mir Befehl."" Ohne zu zögern lief des Ober zum Tisch des Martin Chang und was jetzt passierte, konnten beide Gäste kaum glauben...

Der Ober nahm ihm vorsichtig den Teller vom Tische und stellte dieser Zara Hassan vor die Nase. ""Bitteschön, gnädiger Herr. Ich wünsche Ihnen einen guten Appetit."" Noch bevor Zara Hassan etwas ein- wenden konnte, drehte sich der Ober um und lief in Richtung Küche. Die beiden Hinterbliebenen schauten sich verwirrt an. Doch das Entsetzten und die Wut über das Verhalten des Aisha Ahmed schlugen kurz darauf in Fröhlichkeit um und beide brachen in schallendes Gelächter aus. Was für ein toller Abend!",9,5,8,5,,9.0,5.0,5.0,5.0,5,4,4,5,5,4
9,2062,3301,erzaehlung,1722608680,"Thema 1: Sich rächen

Ich stand wie angewurzelt da. Meine Hände klammerten sich fest an meinen Stuhl, und ich schwitzte so stark wie noch nie. In diesem Moment hätte ich vor Scham in den Boden versinken können und vor lauter Verzweiflung und Wut hätte ich laut Montreux können. In diesem Text wird es um Verzweiflung und Wut gehen. Also um meine Gefühle. Ich war doch eigentlich schon immer eine Person, die gerne las, oder selber etwas schrieb. So kam ich auch zu meinem Tagebuch, da ich nie eine Person war die besonders gut ihre Gefühle ausdrücken konnte, half mir mein geheimes Buch sehr viel. Ich hatte schon immer eine gute Familie, die an meiner Seite stand und für mich da war, wenn ich sie brauchte aber meine inneren Gedanken konnte ich mit ihnen nie richtig teilen. und so begann so ziemlich alles.

Ich hatte nie richtige Freunde, mit denen ich in der Schule Spass haben konnte oder in der Freizeit gemeinsam Zeit verbringen konnte. Nein, so was hatte ich noch nie erlebt. Aber trotz allem ging ich in die Schule, es machte mir sogar richtig viel Spass. Denn ich musste nie richtig lernen für die Tests, und die Hausaufgaben fielen mir auch leicht. Das war einer von vielen Gründen, weshalb die Kinder in der Schule mich schon immer merkwürdig fanden. Nach jedem Test, den wir zurück bekamen, schauten mich alle spöttisch an, weil sie eh schon wussten dass ich eine sechs geschrieben habe. Vor allem der eine Junge in meiner Klasse konnte mich noch nie richtig leiden und war schon immer fies zu mir. Wie an diesem einen Schultag. Es war ein ganz normaler Donnerstag ich kam in die Schule wir hatten Unterricht alles lief blendend bis die Schulglocke uns in die Pause rief. Wie immer nahm ich meine Lunchbox und mein Tagebuch das ich jeden Mittag dabei hatte. Doch heute war es nicht in meiner Tzek. Ich suchte überall doch finden konnte, ich es nicht. ""Ich bin mir doch sicher, dass ich es eingepackt habe,"" stöhnte ich ein wenig zu laut, so dass die Mädchen meiner Klasse mich komisch anschauten und danach kichernd wegliefen. So verbrachte ich die Pause ohne mein Buch die Schulglocke ertönte wieder, und alle trudelten Martin Chang Klassen-zimmer ein. Im Klassenzimmer war noch keine Lehrperson das führte dazu dass alle extrem laut waren, bis plötzlich Sam der eine Anführer meiner Klasse aufsprang, ein Buch in seiner Hand hielt das mir sehr bekannt vorkam und anfing zu sprechen: ""Ich habe Sofia Patel angebliches Tagebuch gefunden, da er ja nicht viel von sich preis gibt, können wir hier sicher sehr viel erfahren."" Zeile für Zeile fing er an vorzulesen. Ich hielt mir die Ohren zu. Tränen für Tränen liefen mir die Wange runter. Die Kinder schauten zu mir hin. Ich hörte lautes Gelächter und lauter Gesichter die mich verwirrt anschauten. Ich war im Moment drin, aber trotzdem fühlte es sich so an, als wäre alles nicht real. Ich war so wütend auf ihn, ich hätte ihn erwürgen können wegen dem, was er mir angetan hat. Ich malte mir schon Pläne aus wie ich ihm alles zurück geben möchte. Aber ich tat nie was ich vorhatte. Durch den Riesenschmerz den er mir angetan hatte indem er meine persönlichen Gefühle vor mehr als 20 Leuten vorlas war ich zu schwach, jemandem das gleiche anzutan. Es fühlt sich einfach nur falsch an. So etwas unmenscliches konnte ich einfach nicht tun, obwohl ich nie richtige Gefühle empfanden habe. Wenn ich jetzt heute über all das nachdenke hätte ich mir schon gewünscht dass ich etwas getan hätte, dass dieser Junge wusste wie sich das damals für mich angefühlt hat. Schlussendlich habe ich gemerkt dass es nicht darum gehen soll wer wem mehr Schaden zufügen soll. Nein das wichtigste ist, dass man bei sich selber list sich treu bleibt und vorallem sich nicht von anderen runter machen lassen soll. Man braucht auch nicht immer jemanden mit dem man die Gefühle teilen kann. Hauptsächlich brauchst du dich selber und du musst zu-dir stehen. So wie du bist.",9,5,8,5,9.0,8.0,4.0,4.0,5.0,4,3,3,4,3,3
