,title,content,answer,maxPoints,type,relevantLines,examId,questions,gradingKey
0,Aufgabe 1,In was für einem Verkehrsmittel findet das Streitgespräch statt?,"in einem Zug (mit Dampflokomotive). Bewertung: 1 Punkt, wenn der Begriff 'Zug' / 'Eisenbahn' / 'Bahn' fällt. Bei Erwähnung eines weiteren oder anderen Verkehrsmittels: 0 Punkte. Orthografie- und Grammatikfehler werden nicht berücksichtigt.",1,text,[],6,,
1,Aufgabe 2,Warum zieht der Mann mittleren Alters sein Hosenbein hoch? (Z. 13),Er beweist so seine Behinderung. / Weil er seine Behinderung zeigen will. Bewertung: Gleichwertige Lösungen sind zu tolerieren. Antworten in anderen Zeitformen als dem Präsens werden toleriert. Orthografie- und Grammatikfehler werden nicht berücksichtigt.,1,text,[13],6,,
2,Aufgabe 3,"Es nehmen verschiedene Personen aktiv an diesem Streitgespräch teil. Für wen ist das Fahren mit Kinderfahrschein in diesem speziellen Fall in Ordnung, für wen nicht?","1 Punkt für: In Ordnung: Mann mittleren Alters / Behinderter und reifer(er) Mann / Herr (beide müssen genannt sein für den Punkt). 1 Punkt für: Nicht in Ordnung: Schaffnerin / Zugbegleiterin und Oberster / oberster Zugbegleiter (beiden müssen genannt sein für den Punkt). Bewertung: Jeweils 1 Punkt, wenn beide Lösungen vorhanden sind. Bei Erwähnung weiterer Personen: 0 Punkte. Orthografie- und Grammatikfehler werden nicht berücksichtigt.",2,text,[],6,,
3,Aufgabe 4,Warum hat sich der behinderte Mann ein Kinderbillet gekauft? Gib zwei unterschiedliche Gründe an. Antworte in ganzen Sätzen.,"Bewertung: Je 2 Punkte für Antworten aus zwei der folgenden vier Kategorien: Fehlender Behindertenausweis: ""Ich habe keinen Behindertenausweis."" (Z. 10) / Weil der Mann keinen (Behinderten-)Ausweis hat / schon am Ticketschalter kein Behindertenticket bekommen hat. Preisargument: Das Kinderticket ist gleich teuer. / Weil beide Billette gleich viel kosten. Rechtsempfinden: Der Mann hat das Recht auf ein Behindertenticket. / Weil er findet, dieses Ticket steht ihm zu. / Weil er kein Billett für Behinderte bekam. Geldnot: Der Mann hat nicht genug Geld für ein ganzes Ticket / ist zu arm. Gleichwertige Lösungen sind zu tolerieren. 1-3 Fehler kein Abzug, 4 oder mehr Fehler 1 Punkt Abzug, Zeichensetzungsfehler und Weil-Sätze ohne Hauptstaz werden toleriert.",4,text,[],6,,
4,Aufgabe 5,"Der Mann mittleren Alters hat nicht nur im Zug, sondern offenbar in seinem ganzen Leben mit Schwierigkeiten zu kämpfen. Nenne drei im Text erwähnte Tatsachen, die dies bestätigen. Antworte in ganzen Sätzen.","Bewertung: Je 1 Punkt für Antworten, die drei der folgenden vier Kategorien berücksichtigen: Amputation: Weil er sein Bein / seinen Fuss verloren hat. Verlust der Arbeit: Er hat seinen Job / seine Stelle / Arbeit verloren. Armut: Der Mann ist sogar zu arm, um sich ein ganzes Billett kaufen zu können. Amtsschimmel: Nur weil er in der Stadt, wo er gearbeitet hat, nicht registriert wurde, hat er keinen Behindertenausweis erhalten. Bewertung: 3 Punkte für 3 richtige Lösungen, 2 Punkte für 2 richtige Lösungen, 1 Punkt für 1 richtige Lösung, 0 Punkte für keine richtige Lösung. Gleichwertige Lösungen sind zu tolerieren. 1-3 Orthografie- und Grammatikfehler kein Abzug, 4 oder mehr Fehler 1 Punkt Abzug, Zeichensetzungsfehler und Weil-Sätze ohne Hauptstaz werden toleriert.",3,text,[],6,,
5,Aufgabe 6a,Wie reagiert der oberste Zugbegleiter auf das Eingreifen des reiferen Mannes (ab Z. 28)? Antworte mit einem passenden Nomen. Der oberste Zugbegleiter reagiert mit: ____,"Bewertung: 1 Punkt für eines der folgenden Nomen. Ratlosigkeit / Unsicherheit. Tolerieren: Gegenfrage / Nachfragen. Gleichwertige Lösungen sind zu tolerieren. Nominalisierte Verben müssen großgeschrieben sein, sonst gibt es keinen Punkt.",1,text,[28],6,,
6,Aufgabe 6b,Wie reagiert die Zugbegleiterin auf das Eingreifen des reiferen Mannes (ab Z. 28)? Antworte mit einem passenden Nomen. Die Zugbegleiterin reagiert mit: ___,"Bewertung: 1 Punkt für eines der folgenden Nomen. Ärger / Empörung / Wut / Zorn. Tolerieren: Aufforderung / Unterstützung / Verwirrung / Vorschlag. Gleichwertige Lösungen sind zu tolerieren. Nominalisierte Verben müssen großgeschrieben sein, sonst gibt es keinen Punkt.",1,text,[28],6,,
7,Aufgabe 6c,Wie reagieren die übrigen Passagiere auf das Eingreifen des reiferen Mannes (ab Z. 28)? Antworte mit einem passenden Nomen. Die übrigen Passagiere reagieren mit: ___,"Bewertung: 1 Punkt für eines der folgenden Nomen. Erheiterung / Gelächter / Heiterkeit. Tolerieren: Schadenfreude. Gleichwertige Lösungen sind zu tolerieren. Nominalisierte Verben müssen großgeschrieben sein, sonst gibt es keinen Punkt.",1,text,[28],6,,
8,Aufgabe 7a,"Der Behinderte, der oberste Zugbegleiter und die Schaffnerin sollen jeweils ganz unterschiedliche Dinge beweisen. Woran scheitern jedoch alle drei Personen? Lies hierzu die Zeilen 21, 35 und 40/41 genau durch. Antworte in ein bis zwei ganzen Sätzen.","2 Punkte für Antworten wie:
- Sie sollen einen schriftlichen Beleg vorlegen (der ihre Behauptung beweist). / 
- Sie scheitern an der Forderung, ein (amtliches) Papier vorzuweisen (das ihre Aussage bestätigt). /
- Sie müssen etwas beweisen, das vollkommen klar / logisch / eindeutig ist / das nicht hinterfragt zu werden braucht / das sofort zu sehen / zu erkennen ist.
Gleichwertige Lösungen sind zu tolerieren.
Antworten in anderen Zeitformen als dem Präsens werden toleriert.
Abzug für Orthografie- und Grammatikfehler:
1-2 Fehler kein Abzug
3 oder mehr Fehler 1 Punkt Abzug
Zeichensetzungsfehler gelten nicht als Fehler.
Jeder unvollständige Satz bzw. Syntaxfehler gilt als 1 Fehler.",2,text,"[21, 35, 40, 41]",6,,
9,Aufgabe 7b,Mit was für einer Taktik geht der reifere Mann gegen das Zugpersonal vor? Antworte in einem ganzen Satz.,"2 Punkte für Antworten wie:
- Er schlägt die Zugbegleiter mit ihren eigenen Waffen / tut dasselbe wie das Zugpersonal. /
- Er dreht den Spiess um. / 
- Er hält den Zugbegleitern einen Spiegel vor. /
- Er bringt die Zugbegleiter (ebenfalls) in Beweisnot. /
- Er zeigt den Zugbegleitern auf, dass ihre Argumentation unsinnig ist. 
Gleichwertige Lösungen sind zu tolerieren.
Antworten in anderen Zeitformen als dem Präsens werden toleriert.
Abzug für Orthografie- und Grammatikfehler:
1-2 Fehler kein Abzug
3 oder mehr Fehler 1 Punkt Abzug
Zeichensetzungsfehler gelten nicht als Fehler.
Jeder unvollständige Satz bzw. Syntaxfehler gilt als 1 Fehler.",2,text,[],6,,
10,Aufgabe 8,"Der Mann mit dem Holzbein lacht am Schluss der Geschichte nicht. Warum findet er die Situation nicht zum Lachen? Welche der unten aufgeführten Gründe könnten aufgrund des Textzusammenhanges zutreffen, welche treffen sicher nicht zu?",,4,multiplechoice,,6,"[{'text': 'Er mag nicht lachen, weil noch nichts zu seinen Gunsten entschieden ist.', 'options': ['✓', '–'], 'answer': '✓'}, {'text': 'Er lacht lauthals mit, nur bemerkt das im allgemeinen Durcheinander niemand.', 'options': ['✓', '–'], 'answer': '–'}, {'text': 'Der Mann erträgt es nicht, wenn man sich über ihn lustig macht.', 'options': ['✓', '–'], 'answer': '–'}, {'text': 'Der Mann ist wegen der ganzen Auseinandersetzung noch so durcheinander, dass er gar nicht recht mitbekommen hat, was geschehen ist.', 'options': ['✓', '–'], 'answer': '✓'}, {'text': 'Er lacht nicht, weil er sonst bei den Zugbegleitern Nachteile befürchten müsste.', 'options': ['✓', '–'], 'answer': '✓'}]","[{'min': 5, 'max': 5, 'points': 4}, {'min': 4, 'max': 4, 'points': 3}, {'min': 3, 'max': 3, 'points': 2}, {'min': 1, 'max': 2, 'points': 1}, {'min': 0, 'max': 0, 'points': 0}]"
