,session_id,user_id,course_id,exam_id,question,points,max_points,time
0,f29259b3-adca-468e-a9c3-2a3ab76684c6-3,3174,2115,3,Aufgabe 2,1.0,1.0,1720874168
1,f29259b3-adca-468e-a9c3-2a3ab76684c6-3,3174,2115,3,Aufgabe 3,1.0,3.0,1720874193
2,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 1,0.0,1.0,1720874205
3,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 4a,0.0,2.0,1720874205
4,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 4b,0.0,2.0,1720874205
5,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 5,0.0,3.0,1720874205
6,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 6,0.0,2.0,1720874205
7,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 7,0.0,2.0,1720874205
8,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 8a,0.0,2.0,1720874205
9,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 8b,0.0,2.0,1720874205
10,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 9,0.0,4.0,1720874205
11,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 10,0.0,2.0,1720874205
12,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 11a,0.0,1.0,1720874205
13,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 11b,0.0,1.0,1720874205
14,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 12,0.0,4.0,1720874205
15,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 13,0.0,4.0,1720874205
16,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 14,0.0,4.0,1720874205
17,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 15,0.0,2.0,1720874205
18,f29259b3-adca-468e-a9c3-2a3ab76684c6-1,3174,2115,1,Aufgabe 16,0.0,4.0,1720874205
19,55e5c579-312b-480a-9daa-d522204db61e-3,3253,2115,3,Aufgabe 1,1.0,1.0,1716193829
20,55e5c579-312b-480a-9daa-d522204db61e-3,3253,2115,3,Aufgabe 2,1.0,1.0,1716193839
21,55e5c579-312b-480a-9daa-d522204db61e-3,3253,2115,3,Aufgabe 3,1.0,3.0,1716193846
22,55e5c579-312b-480a-9daa-d522204db61e-3,3253,2115,3,Aufgabe 9,3.0,4.0,1716193893
23,55e5c579-312b-480a-9daa-d522204db61e-3,3253,2115,3,Aufgabe 14,2.0,4.0,1716193912
24,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 4a,0.0,2.0,1716193917
25,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 4b,0.0,2.0,1716193917
26,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 5,0.0,3.0,1716193917
27,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 6,0.0,2.0,1716193917
28,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 7,0.0,2.0,1716193917
29,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 8a,0.0,2.0,1716193917
30,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 8b,0.0,2.0,1716193917
31,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 10,0.0,2.0,1716193917
32,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 11a,0.0,1.0,1716193917
33,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 11b,0.0,1.0,1716193917
34,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 12,0.0,4.0,1716193917
35,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 13,0.0,4.0,1716193917
36,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 15,0.0,2.0,1716193917
37,55e5c579-312b-480a-9daa-d522204db61e-1,3253,2115,1,Aufgabe 16,0.0,4.0,1716193917
38,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 8.1,0.0,1.0,1724259024
39,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 14,4.0,4.0,1724259925
40,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 13,3.0,6.0,1724259929
41,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 10,1.0,5.0,1724259937
42,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 9,4.0,6.0,1724259942
43,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 5,7.0,9.0,1724259957
44,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 1,2.0,5.0,1724259964
45,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 15,4.0,4.0,1724259997
46,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 11.5,0.0,1.0,1724260025
47,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 11.4,0.0,1.0,1724260031
48,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 11.3,1.0,1.0,1724260045
49,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 11.2,0.0,1.0,1724260057
50,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 11.1,1.0,1.0,1724260073
51,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 8.5,1.0,1.0,1724260082
52,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 8.4,1.0,1.0,1724260084
53,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 8.6,0.0,1.0,1724260085
54,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 8.2,1.0,1.0,1724260087
55,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 8.3,0.0,1.0,1724260089
56,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 7.3,1.0,1.0,1724260095
57,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 7.2,0.0,1.0,1724260097
58,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 6.2,1.0,1.0,1724260098
59,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 7.1,0.0,1.0,1724260100
60,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 6.1,0.0,1.0,1724260104
61,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 4,0.0,2.0,1724260112
62,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 2.4,1.0,1.0,1724260112
63,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 3,0.0,4.0,1724260116
64,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 2.2,0.0,1.0,1724260117
65,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 2.3,0.0,2.0,1724260118
66,129e468f-34b4-45ce-992d-23200568c2ab-10,4048,5009,10,Aufgabe 2.1,1.0,1.0,1724260119
67,129e468f-34b4-45ce-992d-23200568c2ab-1,4048,2115,1,Aufgabe 12,0.0,6.0,1724260257
68,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 1,2.0,5.0,1724489627
69,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 2.2,1.0,1.0,1724489903
70,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 2.4,0.0,1.0,1724489962
71,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 2.3,1.0,2.0,1724490013
72,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 2.1,1.0,1.0,1724490052
73,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 4,0.0,2.0,1724490255
74,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 5,4.0,9.0,1724490355
75,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 6.1,1.0,1.0,1724490470
76,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 6.2,1.0,1.0,1724490564
77,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 7.1,0.0,1.0,1724490684
78,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 7.2,0.0,1.0,1724490788
79,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 7.3,0.0,1.0,1724490848
80,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.1,1.0,1.0,1724490876
81,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.2,1.0,1.0,1724490903
82,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.3,0.0,1.0,1724490935
83,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.5,0.0,1.0,1724491014
84,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.4,0.0,1.0,1724491036
85,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.6,0.0,1.0,1724491078
86,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 9,5.0,6.0,1724491282
87,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 10,0.0,5.0,1724491451
88,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.1,1.0,1.0,1724491759
89,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.2,1.0,1.0,1724491853
90,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.3,1.0,1.0,1724491869
91,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.5,1.0,1.0,1724491927
92,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.4,1.0,1.0,1724491945
93,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 13,2.0,6.0,1724492140
94,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 14,4.0,4.0,1724492200
95,0f6c0f2f-4578-4199-b95f-acd031113bca-1,4051,2115,1,Aufgabe 3,0.0,4.0,1724492294
96,0f6c0f2f-4578-4199-b95f-acd031113bca-1,4051,2115,1,Aufgabe 12,0.0,6.0,1724492294
97,0f6c0f2f-4578-4199-b95f-acd031113bca-1,4051,2115,1,Aufgabe 15,0.0,4.0,1724492294
98,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 1,2.0,5.0,1724489627
99,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 2.2,1.0,1.0,1724489903
100,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 2.4,0.0,1.0,1724489962
101,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 2.3,1.0,2.0,1724490013
102,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 2.1,1.0,1.0,1724490052
103,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 4,0.0,2.0,1724490255
104,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 5,4.0,9.0,1724490355
105,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 6.1,1.0,1.0,1724490470
106,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 6.2,1.0,1.0,1724490564
107,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 7.1,0.0,1.0,1724490684
108,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 7.2,0.0,1.0,1724490788
109,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 7.3,0.0,1.0,1724490848
110,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.1,1.0,1.0,1724490876
111,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.2,1.0,1.0,1724490903
112,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.3,0.0,1.0,1724490935
113,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.5,0.0,1.0,1724491014
114,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.4,0.0,1.0,1724491036
115,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 8.6,0.0,1.0,1724491078
116,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 9,5.0,6.0,1724491282
117,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 10,0.0,5.0,1724491451
118,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.1,1.0,1.0,1724491759
119,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.2,1.0,1.0,1724491853
120,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.3,1.0,1.0,1724491869
121,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.5,1.0,1.0,1724491927
122,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 11.4,1.0,1.0,1724491945
123,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 13,2.0,6.0,1724492140
124,0f6c0f2f-4578-4199-b95f-acd031113bca-10,4051,5009,10,Aufgabe 14,4.0,4.0,1724492200
125,0f6c0f2f-4578-4199-b95f-acd031113bca-1,4051,2115,1,Aufgabe 3,0.0,4.0,1724492372
126,0f6c0f2f-4578-4199-b95f-acd031113bca-1,4051,2115,1,Aufgabe 12,0.0,6.0,1724492372
127,0f6c0f2f-4578-4199-b95f-acd031113bca-1,4051,2115,1,Aufgabe 15,0.0,4.0,1724492372
128,6cf72a44-87ec-472f-9f78-161b2f8d4528-10,4047,5009,10,Aufgabe 1,4.0,5.0,1724336977
129,6cf72a44-87ec-472f-9f78-161b2f8d4528-10,4047,5009,10,Aufgabe 2.1,1.0,1.0,1724337007
130,6cf72a44-87ec-472f-9f78-161b2f8d4528-10,4047,5009,10,Aufgabe 2.2,1.0,1.0,1724337150
131,6cf72a44-87ec-472f-9f78-161b2f8d4528-10,4047,5009,10,Aufgabe 2.3,0.0,2.0,1724337228
132,6cf72a44-87ec-472f-9f78-161b2f8d4528-10,4047,5009,10,Aufgabe 2.4,0.0,1.0,1724338355
133,6cf72a44-87ec-472f-9f78-161b2f8d4528-10,4047,5009,10,Aufgabe 3,3.0,4.0,1724338454
134,6cf72a44-87ec-472f-9f78-161b2f8d4528-10,4047,5009,10,Aufgabe 4,0.0,2.0,1724338519
